"lat","lon","V5"
53.3498053,-6.2603097,"Dublin"
50.8503396,4.3517103,"Brussels"
51.5073509,-0.1277583,"London"
41.3850639,2.1734035,"Barcelona"
40.4167754,-3.7037902,"Madrid"
47.497912,19.040235,"Budapest"
32.0852999,34.7817676,"Tel Aviv"
44.4267674,26.1025384,"Bucharest"
42.6977082,23.3218675,"Sofia"
51.8968917,-8.4863157,"Cork"
52.3702157,4.8951679,"Amsterdam"
37.1457812,-7.8093544,"Faro"
45.4654219,9.1859243,"Milan"
48.856614,2.3522219,"Paris"
41.9027835,12.4963655,"Rome"
36.7212737,-4.4213988,"Malaga"
59.9138688,10.7522454,"Oslo"
59.3293235,18.0685808,"Stockholm"
40.7127837,-74.0059413,"New York"
60.1698557,24.938379,"Helsinki"
37.9838096,23.7275388,"Athens"
34.9002535,33.6231723,"Larnaca"
40.6400629,22.9444191,"Thessaloniki"
41.0082376,28.9783589,"Istanbul"
33.8937913,35.5017767,"Beirut"
41.7151377,44.827096,"Tbilisi"
35.937496,14.375416,"Malta"
48.1351253,11.5819806,"Munich"
50.1109221,8.6821267,"Frankfurt"
45.8150108,15.981919,"Zagreb"
48.2081743,16.3738189,"Vienna"
51.2277411,6.7734556,"Dusseldorf"
53.5510846,9.9936818,"Hamburg"
38.7222524,-9.1393366,"Lisbon"
53.7900638,-8.921466,"Knock"
53.4807593,-2.2426305,"Manchester"
54.597285,-5.93012,"Belfast"
39.5696005,2.6501603,"Palma de Mallorca"
52.5200066,13.404954,"Berlin"
50.937531,6.9602786,"Cologne"
41.9973462,21.4279956,"Skopje"
41.3275459,19.8186982,"Tirana"
44.786568,20.4489216,"Belgrade"
43.5081323,16.4401935,"Split"
42.6506606,18.0944238,"Dubrovnik"
50.0755381,14.4378005,"Prague"
56.9496487,24.1051864,"Riga"
59.4369608,24.7535746,"Tallinn"
54.6871555,25.2796514,"Vilnius"
50.4501,30.5234,"Kiev"
13.7563309,100.5017651,"Bangkok"
18.7060641,98.9817163,"Chiang Mai"
7.9519331,98.3380884,"Phuket"
3.139003,101.686855,"Kuala Lumpur"
13.3670968,103.8448134,"Siem Reap"
55.755826,37.6173,"Moscow"
59.9342802,30.3350986,"St Petersburg"
47.0104529,28.8638103,"Chisinau"
47.1584549,27.6014418,"Iasi"
21.0277644,105.8341598,"Hanoi"
10.8230989,106.6296638,"Ho Chi Minh City"
25.2048493,55.2707828,"Dubai"
23.58589,58.4059227,"Muscat"
25.7616798,-80.1917902,"Miami"
41.8781136,-87.6297982,"Chicago"
42.3600825,-71.0588801,"Boston"
38.9071923,-77.0368707,"Washington D.C. (Arlington County) VA"
